,x,countif
SRR3343560,11,1
SRR3343567,12,1
SRR3343666,16,1
SRR3349255,30,1
SRR3349273,32,1
SRR3349523,37,1
SRR3349600,48,1
SRR3349674,56,1
SRR3349679,57,1
SRR3349815,62,1
SRR3349885,78,1
SRR3349956,87,1
SRR3350124,96,1
SRR3350159,101,1
SRR3350226,105,1
SRR3350251,106,1
SRR3357113,111,1
SRR3357153,114,1
SRR3357157,115,1
SRR3357170,116,1
SRR3357229,118,1
SRR3357265,119,1
SRR3357270,120,1
SRR3357305,121,1
SRR3360675,123,1
SRR3360692,124,1
SRR3360727,125,1
SRR3360748,126,1
SRR3361114,140,1
SRR3361141,145,1
SRR3361151,146,1
SRR3361157,147,1
SRR3343494,5,2
SRR3343498,7,2
SRR3343513,8,2
SRR3343515,9,2
SRR3343518,10,2
SRR3343585,13,2
SRR3343597,10,2
SRR3343598,9,2
SRR3343614,8,2
SRR3343615,5,2
SRR3343622,7,2
SRR3343633,13,2
SRR3343661,15,2
SRR3343681,15,2
SRR3349145,20,2
SRR3349172,21,2
SRR3349220,26,2
SRR3349252,29,2
SRR3349261,31,2
SRR3349264,29,2
SRR3349268,20,2
SRR3349277,26,2
SRR3349289,21,2
SRR3349307,31,2
SRR3349514,35,2
SRR3349544,40,2
SRR3349553,41,2
SRR3349555,40,2
SRR3349565,42,2
SRR3349568,43,2
SRR3349575,44,2
SRR3349598,47,2
SRR3349609,49,2
SRR3349615,50,2
SRR3349624,51,2
SRR3349634,41,2
SRR3349638,53,2
SRR3349652,54,2
SRR3349653,55,2
SRR3349665,35,2
SRR3349669,51,2
SRR3349681,50,2
SRR3349683,54,2
SRR3349686,47,2
SRR3349687,55,2
SRR3349691,43,2
SRR3349702,44,2
SRR3349704,49,2
SRR3349708,42,2
SRR3349710,58,2
SRR3349719,53,2
SRR3349722,59,2
SRR3349723,59,2
SRR3349729,58,2
SRR3349813,61,2
SRR3349819,65,2
SRR3349825,66,2
SRR3349828,67,2
SRR3349837,67,2
SRR3349839,69,2
SRR3349853,72,2
SRR3349854,65,2
SRR3349865,74,2
SRR3349866,75,2
SRR3349873,76,2
SRR3349884,77,2
SRR3349893,79,2
SRR3349900,80,2
SRR3349906,81,2
SRR3349910,82,2
SRR3349914,83,2
SRR3349941,74,2
SRR3349948,86,2
SRR3349954,82,2
SRR3349957,76,2
SRR3349968,75,2
SRR3349973,81,2
SRR3349977,77,2
SRR3349982,88,2
SRR3349984,88,2
SRR3349985,69,2
SRR3349994,86,2
SRR3349996,83,2
SRR3349998,66,2
SRR3349999,80,2
SRR3350005,79,2
SRR3350007,72,2
SRR3350009,61,2
SRR3350084,89,2
SRR3350094,90,2
SRR3350097,91,2
SRR3350107,90,2
SRR3350111,92,2
SRR3350112,93,2
SRR3350113,94,2
SRR3350141,98,2
SRR3350146,99,2
SRR3350148,100,2
SRR3350186,93,2
SRR3350187,102,2
SRR3350191,103,2
SRR3350195,91,2
SRR3350206,89,2
SRR3350215,104,2
SRR3350225,99,2
SRR3350258,100,2
SRR3350265,94,2
SRR3350266,92,2
SRR3350269,107,2
SRR3350274,107,2
SRR3350280,102,2
SRR3350283,98,2
SRR3350286,104,2
SRR3357010,108,2
SRR3357080,109,2
SRR3357112,110,2
SRR3357130,109,2
SRR3357168,108,2
SRR3357199,103,2
SRR3357203,117,2
SRR3357246,110,2
SRR3357309,117,2
SRR3360657,122,2
SRR3360752,122,2
SRR3360879,130,2
SRR3360979,131,2
SRR3360994,131,2
SRR3360999,130,2
SRR3361071,135,2
SRR3361083,136,2
SRR3361099,138,2
SRR3361112,139,2
SRR3361128,143,2
SRR3361139,144,2
SRR3361147,135,2
SRR3361155,136,2
SRR3361159,139,2
SRR3361255,138,2
SRR3361279,143,2
SRR3361286,144,2
SRR3343592,14,3
SRR3343621,14,3
SRR3343656,14,3
SRR3349216,25,3
SRR3349282,25,3
SRR3349284,25,3
SRR3349593,46,3
SRR3349662,46,3
SRR3349812,60,3
SRR3349821,60,3
SRR3349838,68,3
SRR3349903,68,3
SRR3349975,68,3
SRR3349993,60,3
SRR3350093,46,3
SRR3350135,97,3
SRR3350204,97,3
SRR3350217,97,3
SRR3357115,113,3
SRR3357166,113,3
SRR3357202,113,3
SRR3360835,128,3
SRR3360929,128,3
SRR3360937,128,3
SRR3349140,17,4
SRR3349227,27,4
SRR3349248,27,4
SRR3349316,17,4
SRR3349327,17,4
SRR3349337,17,4
SRR3349525,38,4
SRR3349551,27,4
SRR3349590,45,4
SRR3349603,38,4
SRR3349636,52,4
SRR3349642,52,4
SRR3349643,45,4
SRR3349655,27,4
SRR3349670,38,4
SRR3349672,45,4
SRR3349677,38,4
SRR3349699,45,4
SRR3349718,52,4
SRR3349816,63,4
SRR3349845,70,4
SRR3349848,71,4
SRR3349864,73,4
SRR3349874,70,4
SRR3349925,84,4
SRR3349931,73,4
SRR3349936,63,4
SRR3349946,71,4
SRR3349947,70,4
SRR3349955,70,4
SRR3349990,84,4
SRR3350010,84,4
SRR3350011,84,4
SRR3350089,52,4
SRR3357114,112,4
SRR3357151,112,4
SRR3357155,73,4
SRR3357156,112,4
SRR3357286,73,4
SRR3357310,112,4
SRR3360769,127,4
SRR3360866,129,4
SRR3360902,127,4
SRR3360948,129,4
SRR3361012,132,4
SRR3361096,137,4
SRR3361111,129,4
SRR3361120,137,4
SRR3361121,142,4
SRR3361122,132,4
SRR3361123,142,4
SRR3361130,142,4
SRR3361140,142,4
SRR3361160,129,4
SRR3361165,63,4
SRR3361166,137,4
SRR3361171,127,4
SRR3361178,132,4
SRR3361179,148,4
SRR3361208,148,4
SRR3361239,137,4
SRR3361266,132,4
SRR3361272,63,4
SRR3361282,148,4
SRR3361290,148,4
SRR3361293,71,4
SRR3361295,71,4
SRR3361301,127,4
SRR3349175,22,5
SRR3349184,22,5
SRR3349204,22,5
SRR3349205,23,5
SRR3349207,22,5
SRR3349305,22,5
SRR3349325,23,5
SRR3349613,23,5
SRR3349724,23,5
SRR3349817,64,5
SRR3349927,85,5
SRR3349938,64,5
SRR3349944,85,5
SRR3349953,64,5
SRR3349978,64,5
SRR3349980,64,5
SRR3350138,23,5
SRR3357148,85,5
SRR3357176,85,5
SRR3357269,85,5
SRR3361029,134,5
SRR3361119,141,5
SRR3361133,134,5
SRR3361163,134,5
SRR3361215,141,5
SRR3361243,134,5
SRR3361251,134,5
SRR3361283,141,5
SRR3361288,141,5
SRR3361300,141,5
SRR3343491,4,6
SRR3343588,4,6
SRR3349151,4,6
SRR3349173,4,6
SRR3349291,4,6
