FILE	missing	percentage
AUSMDU00008753	90	0.054611650485436924
AUSMDU00008754	89	0.054004854
AUSMDU00008755	91	0.055218447
AUSMDU00008756	84	0.050970873786407744
AUSMDU00008757	87	0.052791262135922334
AUSMDU00008758	88	0.053398058
AUSMDU00008759	87	0.052791262135922334
AUSMDU00008760	87	0.052791262135922334
AUSMDU00008761	88	0.053398058
AUSMDU00008762	86	0.052184466
AUSMDU00008763	87	0.052791262135922334
AUSMDU00008764	84	0.050970873786407744
AUSMDU00008765	86	0.052184466
AUSMDU00008766	89	0.054004854
AUSMDU00008767	88	0.053398058
AUSMDU00008768	88	0.053398058
AUSMDU00008769	84	0.050970873786407744
AUSMDU00008770	89	0.054004854
AUSMDU00008771	92	0.055825243
AUSMDU00008772	91	0.055218447
AUSMDU00008773	84	0.050970873786407744
AUSMDU00008774	86	0.052184466
AUSMDU00008775	87	0.052791262135922334
AUSMDU00008776	89	0.054004854
AUSMDU00008777	87	0.052791262135922334
AUSMDU00008778	88	0.053398058
AUSMDU00008779	84	0.050970873786407744
AUSMDU00008780	88	0.053398058
AUSMDU00008781	83	0.050364078
AUSMDU00008782	87	0.052791262135922334
AUSMDU00010847	85	0.05157767
AUSMDU00010848	82	0.049757282
AUSMDU00010849	81	0.049150485436893154
AUSMDU00010850	79	0.047936893
AUSMDU00010851	94	0.057038835
AUSMDU00010852	91	0.055218447
AUSMDU00010853	89	0.054004854
AUSMDU00010854	78	0.047330097087378675
AUSMDU00010855	83	0.050364078
AUSMDU00010856	90	0.054611650485436924
AUSMDU00010857	91	0.055218447
AUSMDU00010858	84	0.050970873786407744
AUSMDU00010859	83	0.050364078
AUSMDU00010860	82	0.049757282
AUSMDU00010861	85	0.05157767
AUSMDU00010862	88	0.053398058
AUSMDU00010863	76	0.046116505
AUSMDU00010864	88	0.053398058
AUSMDU00010865	88	0.053398058
AUSMDU00010866	82	0.049757282
AUSMDU00010867	81	0.049150485436893154
AUSMDU00010868	80	0.048543689
AUSMDU00010869	84	0.050970873786407744
AUSMDU00010870	82	0.049757282
AUSMDU00010871	87	0.052791262135922334
AUSMDU00010872	89	0.054004854
AUSMDU00010873	76	0.046116505
AUSMDU00010874	84	0.050970873786407744
AUSMDU00010875	78	0.047330097087378675
AUSMDU00010876	87	0.052791262135922334
AUSMDU00010877	90	0.054611650485436924
AUSMDU00010878	82	0.049757282
AUSMDU00010879	81	0.049150485436893154
AUSMDU00010880	76	0.046116505
AUSMDU00010881	88	0.053398058
AUSMDU00010882	75	0.045509708737864085
AUSMDU00010883	90	0.054611650485436924
AUSMDU00010884	82	0.049757282
AUSMDU00011071	87	0.052791262135922334
AUSMDU00011072	83	0.050364078
AUSMDU00011073	88	0.053398058
AUSMDU00011074	92	0.055825243
AUSMDU00011075	85	0.05157767
AUSMDU00011076	89	0.054004854
AUSMDU00011077	76	0.046116505
AUSMDU00011078	89	0.054004854
AUSMDU00011079	83	0.050364078
AUSMDU00011080	77	0.046723301
AUSMDU00011081	84	0.050970873786407744
AUSMDU00011082	78	0.047330097087378675
AUSMDU00011083	83	0.050364078
AUSMDU00011084	79	0.047936893
AUSMDU00011085	86	0.052184466
AUSMDU00011086	83	0.050364078
AUSMDU00011087	88	0.053398058
AUSMDU00011088	90	0.054611650485436924
AUSMDU00011089	80	0.048543689
AUSMDU00011090	74	0.044902913
AUSMDU00011091	87	0.052791262135922334
AUSMDU00011092	79	0.047936893
AUSMDU00011093	91	0.055218447
AUSMDU00011094	72	0.043689320388349495
AUSMDU00011095	76	0.046116505
AUSMDU00011096	75	0.045509708737864085
AUSMDU00011097	91	0.055218447
AUSMDU00011098	83	0.050364078
AUSMDU00011099	89	0.054004854
AUSMDU00011100	89	0.054004854
AUSMDU00011101	86	0.052184466
AUSMDU00011102	82	0.049757282
AUSMDU00011103	87	0.052791262135922334
AUSMDU00011104	82	0.049757282
AUSMDU00011105	77	0.046723301
AUSMDU00011106	85	0.05157767
AUSMDU00011107	87	0.052791262135922334
AUSMDU00011108	88	0.053398058
AUSMDU00011109	79	0.047936893
AUSMDU00011110	85	0.05157767
AUSMDU00011111	82	0.049757282
AUSMDU00011112	78	0.047330097087378675
AUSMDU00011113	92	0.055825243
AUSMDU00011114	90	0.054611650485436924
AUSMDU00011115	86	0.052184466
AUSMDU00011116	82	0.049757282
AUSMDU00011117	88	0.053398058
AUSMDU00011118	83	0.050364078
AUSMDU00011119	81	0.049150485436893154
AUSMDU00011178	92	0.055825243
AUSMDU00011179	95	0.057645631
AUSMDU00011180	83	0.050364078
AUSMDU00011181	80	0.048543689
AUSMDU00011182	85	0.05157767
AUSMDU00011183	96	0.058252427184465994
AUSMDU00011184	80	0.048543689
AUSMDU00011185	92	0.055825243
AUSMDU00011186	88	0.053398058
AUSMDU00011187	88	0.053398058
AUSMDU00011188	90	0.054611650485436924
AUSMDU00011189	78	0.047330097087378675
AUSMDU00011190	90	0.054611650485436924
AUSMDU00011191	89	0.054004854
AUSMDU00011192	87	0.052791262135922334
AUSMDU00011193	93	0.056432038834951403
AUSMDU00011194	84	0.050970873786407744
AUSMDU00011195	88	0.053398058
AUSMDU00011196	90	0.054611650485436924
AUSMDU00011197	84	0.050970873786407744
